assay,tiff_file,sample_id,project_name,probe_control
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV11.ome.tiff,CTEBV_11,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV12.ome.tiff,CTEBV_12,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV14.tif,CTEBV_14,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV15.tif,CTEBV_15,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV15_NegCTL.tif,CTEBV_15,RNAScopeRound1,negative_probe
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV15_PosCTL.tif,CTEBV_15,RNAScopeRound1,positive_probe
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV2.tif,CTEBV_2,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV6.qptiff,CTEBV_6,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV9.qptiff,CTEBV_9,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-10.qptiff,D_EB_10,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-10_NegCTL.tif,D_EB_10,RNAScopeRound1,negative_probe
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-10_PosCTL.tif,D_EB_10,RNAScopeRound1,positive_probe
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-11.ome.tiff,D_EB_11,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-12.ome.tiff,D_EB_12,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-13.ome.tiff,D_EB_13,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-15.ome.tiff,D_EB_15,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-16.qptiff,D_EB_16,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-17.tif,D_EB_17,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-18.tif,D_EB_18,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-2.ome.tiff,D_EB_2,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-20.tif,D_EB_20,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-21.tif,D_EB_21,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-22.ome.tiff,D_EB_22,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-23.ome.tiff,D_EB_23,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-24.ome.tiff,D_EB_24,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-25.tif,D_EB_25,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-26.qptiff,D_EB_26,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-27.ome.tiff,D_EB_27,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-29.ome.tiff,D_EB_29,RNAScopeRound1,
