"","assay","unique_id","sizeC_max","sizeC_min","resolutionLevel_max","tiff_file"
"42","RNAScope_3plex+IF","D_EB_29",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/230_D-EB-27_D-EB-29.tif"
"43","RNAScope_3plex+IF","D_EB_3",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/201_D-EB-2_D-EB-3.tif"
"44","RNAScope_3plex+IF","D_EB_30",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/229_D-EB-30.tif"
"45","RNAScope_3plex+IF","D_EB_31",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/206_D-EB-31.tif"
"46","RNAScope_3plex+IF","D_EB_32",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/205_D-EB-32.tif"
"47","RNAScope_3plex+IF","D_EB_33",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/204_D-EB-33.tif"
"48","RNAScope_3plex+IF","D_EB_5",6,6,7,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/202_D-EB-4_D-EB-5.tif"
"49","RNAScope_3plex+IF","D_EB_6",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/203_D-EB-6_D-EB-7.tif"
"50","RNAScope_3plex+IF","D_EB_7",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/203_D-EB-6_D-EB-7.tif"
"51","RNAScope_4plex","CTEBV_11",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV11.ome.tiff"
"52","RNAScope_4plex","CTEBV_12",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV12.ome.tiff"
"53","RNAScope_4plex","CTEBV_14",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV14.tif"
"54","RNAScope_4plex","CTEBV_15",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV15.tif"
"55","RNAScope_4plex","CTEBV_2",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV2.tif"
"56","RNAScope_4plex","CTEBV_6",6,6,7,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/CTEBV6.qptiff"
"57","RNAScope_4plex","D_EB_10",6,6,7,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-10.qptiff"
